Provinsi,Indeks Literasi Digital (skala 1–5),Persentase Akses Internet (%),APS 7–12 Tahun (%),APS 13–15 Tahun (%),APS 16–18 Tahun (%),APS Rata-rata (%),lit_z (z-score),net_z (z-score),Indeks Kesiapan Digital Pendidikan (rata-rata z-score),Kategori_Litdig,Kategori_Internet,Status_Kinerja,Kategori_APS
Nusa Tenggara Timur,3.39,74.23,98.95,97.4,81.33,92.56,-1.1297903632094108,-1.072255332321781,-1.101022847765596,Rendah,Rendah,Tertinggal,Baik
Papua,3.62,35.14,95.25,96.21,86.94,92.8,1.1650046082964653,-5.005387206512674,-1.9201912991081045,Tinggi,Rendah,Tertinggal,Baik
Papua Barat,3.55,78.32,98.91,97.69,83.75,93.45,0.46658874740336975,-0.6607304061145487,-0.09707082935558947,Baik,Rendah,Berkembang,Baik
Riau,3.33,91.01,99.64,96.68,82.6,92.97333333333331,-1.7284325296892051,0.6161036558829566,-0.5561644369031242,Rendah,Tinggi,Berkembang,Baik
Sulawesi Barat,3.32,82.09,98.07,91.23,73.79,87.69666666666667,-1.8282062241025065,-0.28140302914602205,-1.0548046266242643,Rendah,Rendah,Tertinggal,Rendah
Sulawesi Selatan,3.5,88.33,99.48,93.71,73.35,88.84666666666665,-0.032279724663123364,0.34644918100877853,0.1570847281728276,Sedang,Baik,Maju,Rendah
Sulawesi Tengah,3.44,82.23,97.77,94.64,83.37,91.92666666666666,-0.6309218911429177,-0.26731660135408736,-0.4491192462485025,Rendah,Rendah,Berkembang,Baik
Sulawesi Tenggara,3.57,87.6,98.65,94.35,79.17,90.72333333333334,0.6661361362299678,0.27299852180797607,0.4695673290189719,Baik,Baik,Maju,Sedang
Sulawesi Utara,3.4,83.54,99.35,95.83,75.24,90.14,-1.030016668796114,-0.13550788415812728,-0.5827622764771206,Rendah,Sedang,Berkembang,Sedang
Sumatera Barat,3.53,87.52,99.34,96.76,88.84,94.98000000000002,0.2670413585767716,0.2649491344982993,0.2659952465375355,Baik,Baik,Maju,Tinggi
Sumatera Selatan,3.46,85.79,99.48,97.01,76.54,91.01,-0.43137450231631963,0.09088113392653657,-0.17024668419489153,Sedang,Sedang,Berkembang,Sedang
Sumatera Utara,3.46,86.61,99.69,97.19,79.26,92.04666666666667,-0.43137450231631963,0.17338735385072448,-0.12899357423279756,Sedang,Sedang,Berkembang,Baik
