Provinsi,Indeks_Literasi_Digital,Persentase_Akses_Internet,APS 7-12 Tahun,APS 13-15 Tahun,APS 16-18 Tahun,APS_Rata2,lit_z,net_z,Indeks_Kesiapan_Digital_Pendidikan,Kategori_Litdig,Kategori_Internet,Status_Kinerja,Kategori_APS,Cluster,Cluster_Label,Label_Cluster
Kepulauan Riau,0.865683525056566,1.0437273567095438,0.18389263177330759,1.3133436187407377,1.1172249538347108,1.2950728375533562,0.865683525056566,1.0437273567095438,1.4395981928501715,Baik,Tinggi,Maju,Tinggi,1,Tinggi,Rendah
Lampung,-0.1320534190764202,0.3031837242192657,0.8178286625783255,-0.1030591572050115,-0.16359103062161412,-0.0661109720684533,-0.1320534190764202,0.3031837242192657,0.129023501635052,Sedang,Baik,Maju,Sedang,2,Sedang,Tinggi
Maluku,0.3668150529900729,-0.2542363469758628,0.5070757063013505,1.1706463241491833,0.14680170098757822,0.5016555367577472,0.3668150529900729,-0.2542363469758628,0.08487858913926348,Baik,Rendah,Maju,Baik,1,Tinggi,Rendah
Maluku Utara,-0.1320534190764202,-0.7130514236274484,0.10931192226683074,0.7848351202535192,0.7319098387336439,0.8263015148814534,-0.1320534190764202,-0.7130514236274484,-0.6371658483480088,Sedang,Rendah,Berkembang,Tinggi,1,Tinggi,Rendah
Nusa Tenggara Barat,-0.6309218911429177,-0.5148352611266539,0.2584733412797668,0.9856683496786598,0.6355810599583759,0.8204782686370811,-0.6309218911429177,-0.5148352611266539,-0.8638423199551475,Rendah,Rendah,Berkembang,Tinggi,1,Tinggi,Rendah
Nusa Tenggara Timur,-1.1297903632094108,-1.072255332321781,-0.20144103401014438,0.446589681221699,0.30913353188663845,0.35170694596519064,-1.1297903632094108,-1.072255332321781,-1.66022988249028,Rendah,Rendah,Tertinggal,Baik,0,Rendah,Sedang
Papua,1.1650046082964653,-5.005387206512674,-4.80058478690938,-0.1823354319780973,1.3098825113852441,0.45652537836387297,1.1650046082964653,-5.005387206512674,-2.895452152829267,Tinggi,Rendah,Tertinggal,Baik,1,Tinggi,Rendah
Papua Barat,0.46658874740336975,-0.6607304061145487,-0.25116150701446815,0.5998571457829882,0.7408291701017237,0.7404086327769794,0.46658874740336975,-0.6607304061145487,-0.1463728858500278,Baik,Rendah,Berkembang,Baik,1,Tinggi,Rendah
Riau,-1.7284325296892051,0.6161036558829566,0.6562371253143041,0.06606356231090231,0.5356845486358764,0.5322275795406939,-1.7284325296892051,0.6161036558829566,-0.8386391068984684,Rendah,Tinggi,Berkembang,Baik,0,Rendah,Sedang
Sulawesi Barat,-1.8282062241025065,-0.28140302914602205,-1.2952914401051088,-2.81430775444444,-1.0359016384198643,-1.7723221216692626,-1.8282062241025065,-0.28140302914602205,-1.5905375305013059,Rendah,Rendah,Tertinggal,Rendah,0,Rendah,Sedang
Sulawesi Selatan,-0.032279724663123364,0.34644918100877853,0.4573552332970443,-1.5036066781961435,-1.1143917544589728,-1.2700671330922426,-0.032279724663123364,0.34644918100877853,0.23686770926202586,Sedang,Baik,Maju,Rendah,2,Sedang,Tinggi
Sulawesi Tengah,-0.6309218911429177,-0.26731660135408736,-1.6681949876374755,-1.0120937746030267,0.6730422517043144,0.07510274935754796,-0.6309218911429177,-0.26731660135408736,-0.6772259040186787,Rendah,Rendah,Berkembang,Baik,0,Rendah,Sedang
Sulawesi Tenggara,0.6661361362299678,0.27299852180797607,-0.574344581542511,-1.1653612391643233,-0.07618158321442843,-0.4504452241969613,0.6661361362299678,0.27299852180797607,0.7080595221620793,Baik,Baik,Maju,Sedang,2,Sedang,Tinggi
Sulawesi Utara,-1.030016668796114,-0.13550788415812728,0.29576369603300523,-0.3831686614032379,-0.7772410287455386,-0.7052122473882126,-1.030016668796114,-0.13550788415812728,-0.8787459295316646,Rendah,Sedang,Berkembang,Sedang,0,Rendah,Sedang
Sumatera Barat,0.2670413585767716,0.2649491344982993,0.2833335777819375,0.1083442421898789,1.6488171033722954,1.4086261393186001,0.2670413585767716,0.2649491344982993,0.4010936356118208,Baik,Baik,Maju,Tinggi,1,Tinggi,Rendah
Sumatera Selatan,-0.43137450231631963,0.09088113392653657,0.4573552332970443,0.24047136681168352,-0.5453384131754496,-0.32524542994297917,-0.43137450231631963,0.09088113392653657,-0.2567145932247004,Sedang,Sedang,Berkembang,Sedang,0,Rendah,Sedang
Sumatera Utara,-0.43137450231631963,0.17338735385072448,0.7183877165696956,0.3356028965393789,-0.06012678675188335,0.12751196555689223,-0.43137450231631963,0.17338735385072448,-0.1945091212458782,Sedang,Sedang,Berkembang,Baik,0,Rendah,Sedang
